loss,hyperparameters,iteration
0.9712298716137774,"{'bagging_fraction': 0.29809842983164114, 'feature_fraction': 0.12527365874464444, 'lambda_l1': 0.8404607393250955, 'lambda_l2': 0.9648879049919442, 'learning_rate': 0.9095998624987028, 'max_depth': 6.809542406290122, 'num_iterations': 499.7287252244497}",83
0.9745906741310858,"{'bagging_fraction': 0.865737760938504, 'feature_fraction': 0.9172574945958148, 'lambda_l1': 0.9091775041545642, 'lambda_l2': 0.20989981943915392, 'learning_rate': 0.25988447985210306, 'max_depth': 6.5585574791311885, 'num_iterations': 405.41938546426786}",84
0.9730221375089648,"{'bagging_fraction': 0.2939928531224363, 'feature_fraction': 0.10151584016755887, 'lambda_l1': 0.8700992902663472, 'lambda_l2': 0.9677565677833182, 'learning_rate': 0.12435178624927505, 'max_depth': 1.8249221797161614, 'num_iterations': 366.8391548814794}",85
0.9714937047323116,"{'bagging_fraction': 0.2598008470161781, 'feature_fraction': 0.9556898114150113, 'lambda_l1': 0.9949259876891683, 'lambda_l2': 0.9888747273509317, 'learning_rate': 0.520699696229694, 'max_depth': 6.519644822041206, 'num_iterations': 125.62053827972068}",86
0.9750501157822841,"{'bagging_fraction': 0.9955795356889318, 'feature_fraction': 0.4247242863087305, 'lambda_l1': 0.48729861287146836, 'lambda_l2': 0.43933089492219124, 'learning_rate': 0.12895542661317003, 'max_depth': 7.754980588455189, 'num_iterations': 204.7741257766793}",87
0.9494285961968651,"{'bagging_fraction': 0.8575688433755989, 'feature_fraction': 0.3651657391586628, 'lambda_l1': 0.12873789513944978, 'lambda_l2': 0.8496460952465543, 'learning_rate': 0.11447518663886637, 'max_depth': 1.076038243599434, 'num_iterations': 212.95535393367442}",88
0.9737725393907948,"{'bagging_fraction': 0.13671466057556686, 'feature_fraction': 0.15097352351503734, 'lambda_l1': 0.5961113385507589, 'lambda_l2': 0.6116416988573359, 'learning_rate': 0.17221691299395353, 'max_depth': 7.96349478068188, 'num_iterations': 196.2807290826745}",89
0.9749496893293657,"{'bagging_fraction': 0.9870775215017069, 'feature_fraction': 0.6963908649648615, 'lambda_l1': 0.9450469851849495, 'lambda_l2': 0.038494043437037995, 'learning_rate': 0.18153071552706496, 'max_depth': 6.823130938916535, 'num_iterations': 227.75486400530588}",90
0.9752571712991763,"{'bagging_fraction': 0.9897832738849509, 'feature_fraction': 0.30578054896789286, 'lambda_l1': 0.9222050422501378, 'lambda_l2': 0.9762385370403396, 'learning_rate': 0.11768343418985142, 'max_depth': 7.979978808806414, 'num_iterations': 198.33014434460475}",91
0.9506273344102801,"{'bagging_fraction': 0.8328188055757298, 'feature_fraction': 0.9184391640483301, 'lambda_l1': 0.9991411366077131, 'lambda_l2': 0.9500371560206379, 'learning_rate': 0.10631539474506944, 'max_depth': 1.096352975791652, 'num_iterations': 239.89733463995245}",92
0.9738345309171932,"{'bagging_fraction': 0.9559535321259733, 'feature_fraction': 0.11535047514918795, 'lambda_l1': 0.22046860952198533, 'lambda_l2': 0.061735717666347445, 'learning_rate': 0.7983184957240261, 'max_depth': 5.838673994185868, 'num_iterations': 228.83404656823868}",93
0.974793915271313,"{'bagging_fraction': 0.9807560774397057, 'feature_fraction': 0.33328805626782443, 'lambda_l1': 0.9217420152374418, 'lambda_l2': 0.0032430020755429556, 'learning_rate': 0.335031921466874, 'max_depth': 7.94327397867967, 'num_iterations': 309.3675383965399}",94
0.9725753172497485,"{'bagging_fraction': 0.16707371275515248, 'feature_fraction': 0.7468846901174153, 'lambda_l1': 0.0201149394462381, 'lambda_l2': 0.9949530660839173, 'learning_rate': 0.31956437294850565, 'max_depth': 6.732880285655678, 'num_iterations': 230.57280352146813}",95
0.9745714763010314,"{'bagging_fraction': 0.2684478202081967, 'feature_fraction': 0.11579979969453369, 'lambda_l1': 0.9033787795052143, 'lambda_l2': 0.09605320056554545, 'learning_rate': 0.1567123776886473, 'max_depth': 7.774140456058665, 'num_iterations': 152.7818016630917}",96
0.9752356255654526,"{'bagging_fraction': 0.9918493482382749, 'feature_fraction': 0.3085417899113522, 'lambda_l1': 0.9124559745165673, 'lambda_l2': 0.04185857675947613, 'learning_rate': 0.10687098219172, 'max_depth': 7.643736929787856, 'num_iterations': 385.40689082008987}",97
0.9738940080704863,"{'bagging_fraction': 0.1, 'feature_fraction': 0.10000007261637149, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 0.10000006629847479, 'max_depth': 4.708666011346858, 'num_iterations': 400.51935700518436}",98
0.972925417959128,"{'bagging_fraction': 0.8828852600970395, 'feature_fraction': 0.10731050496976124, 'lambda_l1': 0.05346045823362966, 'lambda_l2': 0.8142420111780098, 'learning_rate': 0.9541597814895751, 'max_depth': 7.745864338936942, 'num_iterations': 101.82587083352126}",99
